,Revenue,No of Users,No of Payers,Total activation,Product stage,Quality assurance team,Customer service team,Team size,More than 10 people,Product manager,Engineering manager,Deep structure,Finance department,HR department,Business outsourcing,Burn rate,Profitable time
Revenue,1.0,0.3652095647693996,0.7519841829962494,0.3585237891596125,0.5447698558798978,0.1443447507141698,0.3901346843360968,0.43124191756259955,0.22759549191728762,0.21718191144411209,0.20334756881449786,0.19881840065881312,0.18472538541550218,0.17274539083699883,0.09082071927464373,0.43054269136665185,0.4854161609542922
No of Users,0.3652095647693996,1.0,0.5295546856847886,0.504285696811055,0.4333969184050873,0.07955549792768264,0.24003344500684592,0.3678513142229024,0.18676632594517384,0.19155402411172612,0.19349945893354994,0.15354909142489337,0.11328802845458542,0.12814464026958167,0.02168790756837471,0.2696382219662239,0.21063477922416907
No of Payers,0.7519841829962494,0.5295546856847886,1.0,0.3268641135726774,0.5532246308431434,0.10697597456881809,0.3756600764032876,0.4205794415414943,0.20967581674022565,0.19859442388963242,0.18831349560571395,0.18892659263831518,0.17136637858039327,0.1485547316525271,0.07713485615370043,0.336920885635342,0.43779255798362976
Total activation,0.3585237891596125,0.504285696811055,0.3268641135726774,1.0,0.4408073560724665,0.11739906435053993,0.14406284694234853,0.24390248868039938,0.1243088668992602,0.15317662627943002,0.14622561776198056,0.13007085341600846,0.1402927677046085,0.08130903596443426,0.015368744435249989,0.28536404885553146,0.1621231991561014
Product stage,0.5447698558798978,0.4333969184050873,0.5532246308431434,0.4408073560724665,1.0,0.10741834746646453,0.28565779768512944,0.37668320089797935,0.16009691910880597,0.17466283476709213,0.16550827877854626,0.16500178577221802,0.139953523908603,0.12636799029919601,0.028064893528209442,0.40962378151462203,0.33321559188333383
Quality assurance team,0.1443447507141698,0.07955549792768264,0.10697597456881809,0.11739906435053993,0.10741834746646453,1.0,0.5538524826902378,0.32366360451094606,0.22652992087626836,0.20283015981723534,0.20914381457087053,0.17312599271795107,0.20967722702946967,0.174743586658155,0.11598383117620428,0.12162966792302757,0.07821617137473061
Customer service team,0.3901346843360968,0.24003344500684592,0.3756600764032876,0.14406284694234853,0.28565779768512944,0.5538524826902378,1.0,0.4488804378810291,0.2395388058190988,0.24219987861760897,0.26565306694986773,0.23772018904110753,0.2721105152665404,0.22278024260492607,0.1275281772641095,0.23271650598809165,0.20947827878091968
Team size,0.43124191756259955,0.3678513142229024,0.4205794415414943,0.24390248868039938,0.37668320089797935,0.32366360451094606,0.4488804378810291,1.0,0.4625200018333516,0.3966926686716184,0.41042181266054184,0.34860387376668583,0.3314857939871498,0.3327271693441807,0.11588523325713967,0.43123870381528256,0.17340475918175172
More than 10 people,0.22759549191728762,0.18676632594517384,0.20967581674022565,0.1243088668992602,0.16009691910880597,0.22652992087626836,0.2395388058190988,0.4625200018333516,1.0,0.33121692718302964,0.34381998567195127,0.30159043756354803,0.30825564285396695,0.35509246797799976,0.051760833316958424,0.19410885115044263,0.10989527846155707
Product manager,0.21718191144411209,0.19155402411172612,0.19859442388963242,0.15317662627943002,0.17466283476709213,0.20283015981723534,0.24219987861760897,0.3966926686716184,0.33121692718302964,1.0,0.5180848774866291,0.28728900950394587,0.27806793727015366,0.2784585807119145,0.0716459490242756,0.2165079752147917,0.07038101941211547
Engineering manager,0.20334756881449786,0.19349945893354994,0.18831349560571395,0.14622561776198056,0.16550827877854626,0.20914381457087053,0.26565306694986773,0.41042181266054184,0.34381998567195127,0.5180848774866291,1.0,0.2967819648620241,0.3135832922988959,0.24695253422202598,0.07998007946937316,0.22570661316061702,0.05576996746974233
Deep structure,0.19881840065881312,0.15354909142489337,0.18892659263831518,0.13007085341600846,0.16500178577221802,0.17312599271795107,0.23772018904110753,0.34860387376668583,0.30159043756354803,0.28728900950394587,0.2967819648620241,1.0,0.30974136839615285,0.2810110245373715,0.09948255000318358,0.14825717267848934,0.12292725731847233
Finance department,0.18472538541550218,0.11328802845458542,0.17136637858039327,0.1402927677046085,0.139953523908603,0.20967722702946967,0.2721105152665404,0.3314857939871498,0.30825564285396695,0.27806793727015366,0.3135832922988959,0.30974136839615285,1.0,0.38878499893561386,0.1070784173045669,0.1554805105727554,0.07323023699310897
HR department,0.17274539083699883,0.12814464026958167,0.1485547316525271,0.08130903596443426,0.12636799029919601,0.174743586658155,0.22278024260492607,0.3327271693441807,0.35509246797799976,0.2784585807119145,0.24695253422202598,0.2810110245373715,0.38878499893561386,1.0,0.10571338775162627,0.1273608188643583,0.09393310726169449
Business outsourcing,0.09082071927464373,0.02168790756837471,0.07713485615370043,0.015368744435249989,0.028064893528209442,0.11598383117620428,0.1275281772641095,0.11588523325713967,0.051760833316958424,0.0716459490242756,0.07998007946937316,0.09948255000318358,0.1070784173045669,0.10571338775162627,1.0,0.06850920960856541,0.06136501718355126
Burn rate,0.43054269136665185,0.2696382219662239,0.336920885635342,0.28536404885553146,0.40962378151462203,0.12162966792302757,0.23271650598809165,0.43123870381528256,0.19410885115044263,0.2165079752147917,0.22570661316061702,0.14825717267848934,0.1554805105727554,0.1273608188643583,0.06850920960856541,1.0,0.14465399165810425
Profitable time,0.4854161609542922,0.21063477922416907,0.43779255798362976,0.1621231991561014,0.33321559188333383,0.07821617137473061,0.20947827878091968,0.17340475918175172,0.10989527846155707,0.07038101941211547,0.05576996746974233,0.12292725731847233,0.07323023699310897,0.09393310726169449,0.06136501718355126,0.14465399165810425,1.0
